מ.במחסן,מחס,מספר פריט,שם פריט,מספר חליפי,***,כמות במלאי
,0,04W24UNITD55,כנף גלישה 24 UNIT D/LAB 5.5,42240-3529,,
,0,04W24UNITD60,כנף גלישה 24 UNIT D/LAB 6.0,42240-3529,,
,0,04W24UNITD65,כנף גלישה 24 UNIT D/LAB 6.5,42240-3529,,
,0,04W24VEN70,כנף גלישה 24 VENTIS 7.0 ירוק,42240-3517/CO4,,
,0,04W24VEN70C05,כנף גלישה 24 VENTIS 7.0 ורוד,42240-3517/CO5,,
,0,04W24VEN80,כנף גלישה 24 VENTIS 8.0 ירוק,42240-3517/CO4,,
,0,04W24VEN80C05,כנף גלישה 24 VENTIS 8.0 ורוד,42240-3517/CO5,,
,0,04W24VEND70,כנף גלישה 24 VENTIS D/LAB 7.0,42240-3527,,
,0,04W24VEND80,כנף גלישה 24 VENTIS D/LAB 8.0,42240-3527,,
,0,04W25FLOAT30,כנף גלישה 25 FLOAT 3.0 כחול,42250-3532/C17,,1.00
,0,04W25FLOAT30V,כנף גלישה 25 FLOAT 3.0 ויולט,42250-3532/C13,,
,0,04W25FLOAT35,כנף גלישה 25 FLOAT 3.5 כחול,42250-3532,,
,0,04W25FLOAT40,כנף גלישה 25 FLOAT 4.0 כחול,42250-3532/C17,,
,0,04W25FLOAT40P,כנף גלישה 25 FLOAT 4.0 סגול,42250-3532/C08,,
,0,04W25FLOAT40V,כנף גלישה 25 FLOAT 4.0 ויולט,42250-3532/C13,,
,0,04W25FLOAT45,כנף גלישה 25 FLOAT 4.5 כחול,42250-3532/C17,,1.00
,0,04W25FLOAT45V,כנף גלישה 25 FLOAT 4.5 ויולט,42250-3532/C13,,
,0,04W25FLOAT50,כנף גלישה 25 FLOAT 5.0 כחול,42250-3532/C17,,
,0,04W25FLOAT50P,כנף גלישה 25 FLOAT 5.0 סגול,42250-3532/C08,,
,0,04W25FLOAT55,כנף גלישה 25 FLOAT 5.5 שחור,42250-3532/C09,,
,0,04W25FUS,ידיות/מנור FUSION,,,
,0,04W25FUSBL,מנור לווינג FUSION L 3.5-6.5,42250-3531,,59.00
,0,04W25FUSBM,מנור לווינג FUSION M 2.5-3.0,42250-3531,,6.00
,0,04W25FUSHL,ידיות לווינג FUSION L 3.5-6.5,42250-3620,,12.00
,0,04W25FUSHM,ידיות לווינג FUSION M 2.5-3.0,42250-3620,,1.00
,0,04W25UNIT,כנף גלישה UNIT 25,,,
,0,04W25UNIT25P,כנף גלישה UNIT 2.5 25 ורוד,42250-3519/C04,,1.00
,0,04W25UNIT30P,כנף גלישה UNIT 3.0 25 ורוד,42250-3519/C04,,
,0,04W25UNIT35L,כנף גלישה UNIT 3.5 25 צהוב,42250-3519/C05,,
,0,04W25UNIT35P,כנף גלישה UNIT 3.5 25 ורוד,42250-3519/C04,,
,0,04W25UNIT40P,כנף גלישה UNIT 4.0 25 ורוד,42250-3519/C04,,
,0,04W25UNIT45P,כנף גלישה UNIT 4.5 25 ורוד,42250-3519/C04,,
,0,04W25UNIT50L,כנף גלישה UNIT 5.0 25 צהוב,42250-3519/C05,,
,0,04W25UNIT50P,כנף גלישה UNIT 5.0 25 ורוד,42250-3519/C04,,
,0,04W25UNIT55P,כנף גלישה UNIT 5.5 25 ורוד,42250-3519/C04,,
,0,04W25UNIT60L,כנף גלישה UNIT 6.0 25 צהוב,42250-3519/C05,,
,0,04W25UNIT60P,כנף גלישה UNIT 6.0 25 ורוד,42250-3519/C04,,
,0,04W25UNITD,כנף גלישה UNIT D/LAB 25,,,
,0,04W25UNITD35,כנף גלישה UNIT D/LAB 3.5 25,42250-3529,,
,0,04W25UNITD45,כנף גלישה UNIT D/LAB 4.5 25,42250-3529,,
,0,04W25UNITD50,כנף גלישה UNIT D/LAB 5.0 25,42250-3529,,
