מ.במחסן,מחס,מספר פריט,שם פריט,מספר חליפי,***,כמות במלאי
,0,040224BLSTSLS117,גלשן רוח 24 BLAST SLS 117,14240-1009,,
,0,040224FREE115,גלשן רוח 24 FREEWAVE 115,14240-1007,,
,0,040224FREESLS85,גלשן רוח 24 FREEWAVE SLS 85,14240-1006,,
,0,040224FREESLS95,גלשן רוח 24 FREEWAVE SLS 95,14240-1006,,
,0,040224GRIP81,גלשן רוח 24 GRIP 81,14240-1001,,1.00
,0,040224GRIP87,גלשן רוח 24 GRIP 87,14240-1001,,
,0,040224GRIP93,גלשן רוח 24 GRIP 93,14240-1001,,1.00
,0,040224GRIP95,גלשן רוח 24 GRIP 3 95,14240-1002,,
,0,040224GRIPD87,גלשן רוח GRIP 4 DLAB 87 24,14240-1011,,
,0,040225BLST145,גלשן רוח 25 בלאסט סלס 145,14250-1009,,
,0,040225FWS84,גלשן רוח FREE WAVS SLS 84,14250-1006,,
,0,040225FWS94,גלשן רוח FREE WAVS SLS 94,14250-1006,,
,0,040225GRIP4S93,גלשן רוח 25 GRIP 4 SLS 93,14250-1001,,
,0,040225GRIPD85,גלשן רוח GRIP 3 DLAB 85,14240-1012,,
,0,040225GRIPD95,גלשן רוח GRIP 3 DLAB 95,14240-1012,,
,0,404,***מפרשי גלישת רוח***,,,
,0,04041802B50,מפרש 18 5.0 SUPER HERO HD,14800-1203,,
,0,04041802B53,*מפרש 18 5.3 SUPER HERO HD,14800-1203,,
,0,04041804A40,מפרש 18 4.0 SUPER SESSION,14800-1207,,
,0,04041804A48,*מפרש 18 4.8 SUPER SESSION,14800-1207,,
,0,04041804A52,*מפרש 18 5.2 SUPER SESSION,14700-1291,,
,0,04041804A56,*מפרש 18 5.6 SUPER SESSION,14800-1207,,
,0,04041804B64,*מפרש 18 6.4 SUPER SESSION HD,14800-1208,,
,0,04041902B40,מפרש 19 4.0 SUPER HERO HD,14900-1200,,
,0,04041902B45,מפרש 19 4.5 SUPER HERO HD,14900-1203,,
,0,04041902B47,מפרש 19 4.7 SUPER HERO HD,13900-1203,,
,0,04041902B53,מפרש 19 5.3 SUPER HERO HD,13900-1203,,
,0,04041902B57,מפרש 19 5.7 SUPER HERO HD,14900-1203,,
,0,04041903B60,מפרש 19 6.0 SUPER SESSION,14900-1207,,
,0,04041904B48,מפרש 19 4.8 SUPER SESSION HD,14900-1208,,
,0,04041904B52,מפרש 19 5.2 SUPER SESSION HD,14900-1208,,
,0,04041904B60,מפרש 19 6.0 SUPER SESSION HD,14900-1208,,
,0,04041904B64,מפרש 19 6.4 SUPER SESSION HD,14900-1208,,
,0,04041906B66,מפרש 19 S.TYPE SL 6.6,14900-1213,,
,0,04041906B73,מפרש 19 S.TYPE SL 7.3,14900-1213,,
,0,04041907B58,מפרש 19 F.TYPE 5.8,14900-1210,,
,0,04041907B68,מפרש 19 F.TYPE 6.8,14900-1210,,1.00
,0,04041908B62,מפרש 19 6.2 E.TYPE HD,14900-1212,,
,0,04041908B66,מפרש 19 6.6 E.TYPE HD,14900-1212,,
,0,04041908B73,מפרש 19 7.3 E.TYPE HD,14900-1212,,
,0,04041908C62,מפרש 19 6.2 E.TYPE,14900-1211,,
,0,04041908C66,מפרש 19 6.6 E.TYPE,14900-1211,,
,0,04041908C73,מפרש 19 7.3 E.TYPE,14900-1211,,
,0,040419EPX2.7,מפרש EPX 2.7,14900-1220,,
,0,040419EPX3.5,מפרש EPX 3.5,14900-1220,,1.00
,0,040419SUPERM-5.0,מפרש SUPER M.PLUS 5.0,14900-1204,,
,0,040419SUPERM-5.3,מפרש SUPER M.PLUS 5.3,14900-1204,,
,0,040419SUPERM-5.7,מפרש SUPER M.PLUS 5.7,14900-1204,,1.00
,0,04042004B50,מפרש DRIVE 5.0 20,14900-1219,,
,0,04042005B63,מפרש SUPER SESSION 6.3 20,14200-1207,,
,0,04042005B67,מפרש SUPER SESSION 6.7 20,14200-1207,,
,0,04042005C50,מפרש SUPER SESSION 5.0 HD 20,14200-1208,,
,0,04042005C53,מפרש SUPER SESSION 5.3 HD 20,14200-1208,,
,0,04042005C56,מפרש SUPER SESSION 5.6 HD 20,14200-1208,,
,0,04042005C59,מפרש SUPER SESSION 5.9 HD 20,14200-1208,,
,0,04042005C63,מפרש SUPER SESSION 6.3 HD 20,14200-1208,,1.00
,0,04042006B40,מפרש SUPER HERO 4.0 20,14200-1200,,
,0,04042006B45,מפרש SUPER HERO 4.5 20,14200-1200,,
,0,04042006B47,מפרש SUPER HERO 4.7 20,14200-1200,,
,0,04042006B50,מפרש SUPER HERO 5.0 20,14200-1200,,
,0,04042006B53,מפרש SUPER HERO 5.3 20,14200-1200,,
,0,04042006B57,*מפרש SUPER HERO 5.7 20,14200-1200,,
,0,04042006C45,*מפרש SUPER HERO 4.5 HD 20,14200-1203,,
,0,04042007B58,מפרש 20 F.TYPE 5.8,14200-1210,,1.00
,0,04042007B68,מפרש 20 F.TYPE 6.8,14200-1210,,1.00
,0,04042008B58,*מפרש E_PACE 5.8 HD 20,14200-1212,,
,0,04042008B62,מפרש E_PACE 6.2 HD 20,14200-1212,,
,0,04042008B66,מפרש E_PACE 6.6 HD 20,14200-1212,,
,0,04042008B73,*מפרש E_PACE 7.3 HD 20,14200-1212,,
,0,04042008C66,מפרש 20 6.6 E.PACE,14200-1211,,
,0,04042008C73,*מפרש 20 7.3 E.PACE,14200-1211,,
,0,04042008C78,*מפרש 20 7.8 E.PACE,14200-1211,,
,0,04042008C82,מפרש 20 8.2 E.PACE,14200-1211,,
,0,04042009C73,*מפרש 20 7.3 S.PACE,14200-1213,,
,0,04042009C78,*מפרש 20 7.8 S.PACE,14200-1213,,
,0,04042106A50,מפרש 21 SUPER HERO HD 5.0,14210-1203,,
,0,04042106B40,מפרש 21 SUPER HERO 4.0,14210-1200,,
,0,04042106B45,*מפרש SUPER HERO 4.5 21,14210-1200,,
,0,04042106B47,מפרש SUPER HERO 4.7 21,14210-1200,,
,0,04042106B50,*מפרש SUPER HERO 5.0 21,14210-1200,,
,0,04042106B53,מפרש SUPER HERO 5.3 21,14210-1200,,
,0,04042106B57,מפרש SUPER HERO 5.7 21,14210-1200,,1.00
,0,04042107A45,מפרש 21 SUPER STAR 4.5,14210-1207,,
,0,04042107A47,מפרש SUPER STAR 4.7 21,14210-1207,,
,0,04042107A53,מפרש SUPER STAR 5.3 21,14210-1207,,
,0,04042107A57,מפרש SUPER STAR 5.7 21,14210-1207,,
,0,04042107A62,מפרש SUPER STAR 6.2 21,14210-1207,,
,0,04042107B50,מפרש SUPER STAR GAZER 5.0 21,14210-1209,,
,0,04042107B57,מפרש SUPER STAR GAZER 5.7 21,14210-1209,,
,0,040421EPACE46,מפרש 21 4.6 E.PACE,14210-1211,,
,0,040421EPACE50,מפרש 21 5.0 E.PACE,14210-1211,,
,0,040421EPACE54,מפרש 21 5.4 E.PACE,14210-1211,,
,0,040421EPACE58,מפרש 21 5.8 E.PACE,14210-1211,,
,0,040421EPACE62,מפרש 21 6.2 E.PACE,14210-1211,,
,0,040421EPACE66,מפרש 21 6.6 E.PACE,14210-1211,,
,0,040421EPACE73,מפרש 21 E.PACE 7.3,14120-1211,,
,0,040421EPACE78,מפרש 21 7.8 E.PACE,14210-1211,,1.00
,0,040421EPACE82,מפרש E_PACE 8.2 21,14210-1211,,1.00
,0,040421EPACEHD5.4,מפרש E_PACE HD 5.4 21,14210-1212,,
,0,040421SPACE66,מפרש S_PACE 6.6 21,14210-1213,,
,0,040421SPACE73,מפרש S_PACE 7.3 21,14210-1213,,
,0,040421SPACE78,מפרש S_PACE 7.8 21,14210-1213,,
,0,040421SPACE83,מפרש S_PACE 8.3 22,14210-1213,,
,0,040421SPACE88,מפרש S_PACE 8.8 21,14210-1213,,1.00
,0,040422ALFA25,מפרש בד דקרון ALFA 2.5,14220-1219,,
,0,040422ALFA35,מפרש בד דקרון ALFA 3.5,14220-1219,,
,0,040422ALFA40,מפרש בד דקרון ALFA 4.0,14220-1219,,
,0,040422ALFA45,מפרש בד דקרון ALFA 4.5,14220-1219,,
,0,040422ALFA50,מפרש בד דקרון ALFA 5.0,14220-1219,,
,0,040422EPACE50,מפרש E_PACE 5.0 22,14220-1211,,
,0,040422EPACE54,מפרש E_PACE 5.4 22,14220-1211,,
,0,040422EPACE66,מפרש E_PACE 6.6 22,14220-1211,,
,0,040422EPACEHD58,מפרש E_PACE 5.8 HD 22,14220-1212,,
,0,040422EPACEHD62,מפרש E_PACE 6.2 HD 22,14220-1212,,
,0,040422EPACEHD66,מפרש E_PACE 6.6 HD 22,14220-1212,,
,0,040422EPACEHD73,מפרש E_PACE 7.3 HD 22,14220-1212,,
,0,040422FPACECAM63,מפרש FPACE CAM 6.3,14220-1217,,
,0,040422IRIGS,מפרש IRIG S 22,14220-1900,,
,0,040422NOW3.2,מפרש NOW 3.2 22,14220-1218,,
,0,040422NOW3.6,מפרש NOW 3.6 22,14220-1218,,
,0,040422NOW4.0,מפרש NOW 4.0 22,14220-1218,,1.00
,0,040422SHERO40,מפרש 22 SUPER HERO 4.0,14220-1200,,2.00
,0,040422SHERO45,מפרש 22 SUPER HERO 4.5,14220-1200,,2.00
,0,040422SHERO50,מפרש 22 SUPER HERO 5.0,14220-1200,,
,0,040422SHERO53,מפרש 22 SUPER HERO 5.3,14220-1200,,
,0,040422SHERO57,מפרש 22 SUPER HERO 5.7,14220-1200,,1.00
,0,040422STAR5.0,מפרש SUPER STAR 5.0 22,14220-1207,,
,0,040422STAR5.7,מפרש SUPER STAR 5.7 22,14220-1207,,
,0,040422STARSLS4.5,מפרש SUPER STAR SLS 4.5 22,14220-1209,,1.00
,0,040422STARSLS5.0,מפרש SUPER STAR SLS 5.0 22,14220-1209,,
,0,040422STARSLS6.2,מפרש SUPER STAR SLS 6.2 22,14220-1209,,
,0,040423DUKE54,מפרש DUKE 5.4 23,14230-1204,,
,0,040423EPACE58,מפרש E_PACE 5.8 23,14230-1211,,
,0,040423EPACE66,מפרש E_PACE 6.6 23,14230-1211,,
,0,040423EPACE73,מפרש E_PACE 7.3 23,14230-1211,,
,0,040423EPACSLS6.6,מפרש 23 E.PACE SLS 6.6,14230-1210,,
,0,040423SHERO40,מפרש 23 SUPER HERO 4.0,14230-1200,,1.00
,0,040423SHERO45,מפרש 23 SUPER HERO 4.5,14230-1200,,
,0,040423SHERO50,מפרש 23 SUPER HERO 5.0,14230-1200,,
