ענף ספורט,קטגוריה,שם מוצר,תכונה 1,תכונה 2,"מק""ט",מחיר רגיל (₪),מחיר מבצע (₪),מלאי,URL מוצר
קייט סרפינג,directionals,גלשן גלים לקייט Whip D/LAB 2026,״11׳4,,05B26245D41,5650,,נשארו במלאי רק 1,https://yamitysb.co.il/product/2020-pro-session/
קייט סרפינג,directionals,גלשן גלים לקייט Whip D/LAB 2026,״1׳5,,05B26245D51,5650,,נשארו במלאי רק 1,https://yamitysb.co.il/product/2020-pro-session/
קייט סרפינג,directionals,גלשן גלים לקייט Whip D/LAB 2026,״3׳5,,05B26245D53,5650,,נשארו במלאי רק 1,https://yamitysb.co.il/product/2020-pro-session/
קייט סרפינג,directionals,גלשן גלים לקייט Whip SLS 2026,,,אין מידע,,,מוצר זה חסר כרגע במלאי ואינו זמין.,https://yamitysb.co.il/product/%d7%a1%d7%90%d7%a4-%d7%9e%d7%aa%d7%a0%d7%a4%d7%97-fly-air/
קייט סרפינג,directionals,גלשן קייט גלים 2025 VOLT SLS Concept Blue,25,,05B2534S52,4900,3850,נשארו במלאי רק 1,https://yamitysb.co.il/product/volt-sls-2025/
קייט סרפינג,directionals,גלשן קייט גלים 2025 VOLT SLS Concept Blue,45-2,,05B2534S54,4900,3850,אזל,https://yamitysb.co.il/product/volt-sls-2025/
קייט סרפינג,directionals,גלשן קייט גלים 2025 VOLT SLS Concept Blue,%d7%b46%d7%b35,,05B2534S56,4900,3850,נשארו במלאי רק 1,https://yamitysb.co.il/product/volt-sls-2025/
קייט סרפינג,directionals,גלשן קייט גלים VOLT D/LAB 2025,"""2'5",,05B2534D52,5700,4250,נשארו במלאי רק 2,https://yamitysb.co.il/product/fish-d-lab/
קייט סרפינג,directionals,גלשן קייט גלים VOLT D/LAB 2025,"""4'5",,05B2534D54,5700,4250,קיים במלאי,https://yamitysb.co.il/product/fish-d-lab/
קייט סרפינג,directionals,גלשן קייט גלים VOLT D/LAB 2025,"""6'5",,05B2534D56,5700,4250,נשארו במלאי רק 1,https://yamitysb.co.il/product/fish-d-lab/
קייט סרפינג,directionals,גלשן קייט גלים WHIP D/LAB 2025,114-3,,05B25245D41,5700,4250,נשארו במלאי רק 2,https://yamitysb.co.il/product/whip-d-lab/
קייט סרפינג,directionals,גלשן קייט גלים WHIP D/LAB 2025,15,,05B25245D51,5700,4250,נשארו במלאי רק 3,https://yamitysb.co.il/product/whip-d-lab/
קייט סרפינג,directionals,גלשן קייט גלים WHIP D/LAB 2025,35,,05B25245D53,5700,4250,נשארו במלאי רק 2,https://yamitysb.co.il/product/whip-d-lab/
קייט סרפינג,directionals,גלשן קייט גלים בלייר BLUR D/LAB 2025,65,,05B25265D56,5700,3990,נשארו במלאי רק 2,https://yamitysb.co.il/product/blur-dlab/
קייט סרפינג,directionals,גלשן קייט גלים בלייר BLUR SLS Concept Blue,%d7%b46%d7%b35,,05B25265S06,4900,2999,נשארו במלאי רק 2,https://yamitysb.co.il/product/whip-sls-2023/
קייט סרפינג,directionals,גלשן קייט גלים דואוטון 2024 VOKE SLS,,,05B2324501,5057,5057,נשארו במלאי רק 2,https://yamitysb.co.il/product/2023-voke-sls/
קייט סרפינג,directionals,גלשן קייט גלים דואוטון וולט Volt SLS,45-2,,05B241554,4942,2990,נשארו במלאי רק 1,https://yamitysb.co.il/product/%d7%92%d7%9c%d7%a9%d7%9f-%d7%a7%d7%99%d7%99%d7%98-%d7%92%d7%9c%d7%99%d7%9d-%d7%93%d7%95%d7%90%d7%95%d7%98%d7%95%d7%9f-%d7%95%d7%95%d7%9c%d7%98-volt-sls/
קייט סרפינג,directionals,גלשן קייט גלים דואוטון וולט Volt SLS,25,,05B241552,4942,2990,אזל,https://yamitysb.co.il/product/%d7%92%d7%9c%d7%a9%d7%9f-%d7%a7%d7%99%d7%99%d7%98-%d7%92%d7%9c%d7%99%d7%9d-%d7%93%d7%95%d7%90%d7%95%d7%98%d7%95%d7%9f-%d7%95%d7%95%d7%9c%d7%98-volt-sls/
קייט סרפינג,directionals,גלשן קייט גלים וואם WAM 2024,85-2,,05B2332558,4552,2900,נשארו במלאי רק 1,https://yamitysb.co.il/product/wam-2023/
קייט סרפינג,directionals,גלשן קייט גלים וואם WAM 2024,105-2,,05B23325510,4552,2900,נשארו במלאי רק 1,https://yamitysb.co.il/product/wam-2023/
קייט סרפינג,פויל foil,גוף לפויל קרבון AERO D/LAB,"43 ס""מ (66 מלא)",,04WMF24DLAB43,1200,,נשארו במלאי רק 2,https://yamitysb.co.il/product/aero-d-lab-%d7%aa%d7%95%d7%a8%d7%9f-%d7%95%d7%92%d7%95%d7%a3-%d7%9c%d7%a4%d7%95%d7%99%d7%9c-%d7%a7%d7%a8%d7%91%d7%95%d7%9f/
קייט סרפינג,פויל foil,גוף לפויל קרבון AERO D/LAB,"37 ס""מ (60 מלא)",,04WMF24DLAB37,1200,,נשארו במלאי רק 1,https://yamitysb.co.il/product/aero-d-lab-%d7%aa%d7%95%d7%a8%d7%9f-%d7%95%d7%92%d7%95%d7%a3-%d7%9c%d7%a4%d7%95%d7%99%d7%9c-%d7%a7%d7%a8%d7%91%d7%95%d7%9f/
קייט סרפינג,פויל foil,גלשן קייט גלים ופויל היברידי HYBRID SLS 2024,05,,05B234050,5057,3600,נשארו במלאי רק 1,https://yamitysb.co.il/product/hybrid-sls-2023/
קייט סרפינג,פויל foil,גלשן קייט גלים ופויל היברידי HYBRID SLS 2024,25,,05B234052,5057,3600,נשארו במלאי רק 1,https://yamitysb.co.il/product/hybrid-sls-2023/
קייט סרפינג,פויל foil,גלשן קייט פויל 0'5 FREE,,,05b194250,,,,https://yamitysb.co.il/product/free/
קייט סרפינג,פויל foil,גלשן קייט פויל 2020 Pace,64,,05B204046,4500,3000,נשארו במלאי רק 2,https://yamitysb.co.il/product/pace-3/
קייט סרפינג,פויל foil,גלשן קייט פויל 2023 Pace SLS,24,,05B224042,6474,,אזל,https://yamitysb.co.il/product/pace/
קייט סרפינג,פויל foil,גלשן קייט פויל 2023 Pace SLS,64,,05B224044,6474,,נשארו במלאי רק 1,https://yamitysb.co.il/product/pace/
קייט סרפינג,פויל foil,גלשן קייט פויל 2024/23 Pace,113-2,,05B2240R31,3700,,נשארו במלאי רק 1,https://yamitysb.co.il/product/2022-pace/
קייט סרפינג,פויל foil,גלשן קייט פויל 2024/23 Pace,24,,05B2240R42,3700,,אזל,https://yamitysb.co.il/product/2022-pace/
קייט סרפינג,פויל foil,גלשן קייט פויל 2024/23 Pace,64,,05B2240R46,3700,,נשארו במלאי רק 2,https://yamitysb.co.il/product/2022-pace/
קייט סרפינג,פויל foil,גלשן קייט פויל Soar SLS 2026,,,אין מידע,,,מוצר זה חסר כרגע במלאי ואינו זמין.,https://yamitysb.co.il/product/jag-ltd-2020/
קייט סרפינג,פויל foil,כנף קדמית לפויל קרסט Crest D/LAB,675,,04WF26CRSTD675,3900,,נשארו במלאי רק 2,https://yamitysb.co.il/product/%d7%a1%d7%98-%d7%9b%d7%a0%d7%a4%d7%99%d7%99%d7%9d-%d7%9c%d7%a4%d7%95%d7%99%d7%9c-crest-dlab/
קייט סרפינג,פויל foil,כנף קדמית לפויל קרסט Crest D/LAB,800,,04WF26CRSTD800,4000,,קיים במלאי,https://yamitysb.co.il/product/%d7%a1%d7%98-%d7%9b%d7%a0%d7%a4%d7%99%d7%99%d7%9d-%d7%9c%d7%a4%d7%95%d7%99%d7%9c-crest-dlab/
קייט סרפינג,פויל foil,כנף קדמית לפויל קרסט Crest D/LAB,925,,04WF26CRSTD925,4100,,קיים במלאי,https://yamitysb.co.il/product/%d7%a1%d7%98-%d7%9b%d7%a0%d7%a4%d7%99%d7%99%d7%9d-%d7%9c%d7%a4%d7%95%d7%99%d7%9c-crest-dlab/
קייט סרפינג,פויל foil,סט כנפיים לפויל AERO CARVE 2.0 D/LAB,500-165,,04WF24CARVEDLAB50,3530,2700,נשארו במלאי רק 1,https://yamitysb.co.il/product/%d7%a1%d7%98-%d7%9b%d7%a0%d7%a4%d7%99%d7%99%d7%9d-%d7%9c%d7%a4%d7%95%d7%99%d7%9c-aero-carve-d-lab/
קייט סרפינג,פויל foil,סט כנפיים לפויל AERO CARVE 2.0 D/LAB,650-165,,04WF24CARVEDLAB65,3732,2800,אזל,https://yamitysb.co.il/product/%d7%a1%d7%98-%d7%9b%d7%a0%d7%a4%d7%99%d7%99%d7%9d-%d7%9c%d7%a4%d7%95%d7%99%d7%9c-aero-carve-d-lab/
קייט סרפינג,פויל foil,סט כנפיים לפויל AERO CARVE 2.0 D/LAB,850-180,,04WF24CARVEDLAB85,3933,2900,נשארו במלאי רק 1,https://yamitysb.co.il/product/%d7%a1%d7%98-%d7%9b%d7%a0%d7%a4%d7%99%d7%99%d7%9d-%d7%9c%d7%a4%d7%95%d7%99%d7%9c-aero-carve-d-lab/
קייט סרפינג,פויל foil,סט כנפיים לפויל AERO FREE,1500/250,,04WF25FRE1500,3200,,אזל,https://yamitysb.co.il/product/%d7%97%d7%91%d7%99%d7%9c%d7%aa-%d7%95%d7%95%d7%99%d7%a0%d7%92-%d7%a4%d7%95%d7%99%d7%9c-%d7%99%d7%95%d7%a0%d7%99%d7%98-2022/
קייט סרפינג,פויל foil,סט כנפיים לפויל AERO FREE,1750/250,,04WF25FRE1750,3400,,אזל,https://yamitysb.co.il/product/%d7%97%d7%91%d7%99%d7%9c%d7%aa-%d7%95%d7%95%d7%99%d7%a0%d7%92-%d7%a4%d7%95%d7%99%d7%9c-%d7%99%d7%95%d7%a0%d7%99%d7%98-2022/
קייט סרפינג,פויל foil,סט כנפיים לפויל CARVE 3.0 D/LAB,PX175 / 950,,04WF25CRVD95,4700,,נשארו במלאי רק 1,https://yamitysb.co.il/product/sky-wing/
קייט סרפינג,פויל foil,סט כנפיים לפויל CARVE 3.0 D/LAB,PX160 / 800,,04WF25CRVD80,4400,,נשארו במלאי רק 2,https://yamitysb.co.il/product/sky-wing/
קייט סרפינג,פויל foil,סט כנפיים לפויל CARVE 3.0 D/LAB,PX160 / 650,,04WF25CRVD65,4200,,נשארו במלאי רק 1,https://yamitysb.co.il/product/sky-wing/
קייט סרפינג,פויל foil,סט כנפיים לפויל CARVE 3.0 SLS,PX160 / 800,,04WF25CRVS080,3500,,אזל,https://yamitysb.co.il/product/%d7%a1%d7%98-%d7%9b%d7%a0%d7%a4%d7%99%d7%99%d7%9d-%d7%9c%d7%a4%d7%95%d7%99%d7%9c-carve-3-0/
קייט סרפינג,פויל foil,סט כנפיים לפויל CARVE 3.0 SLS,PX175 / 950,,04WF25CRVS095,3700,,נשארו במלאי רק 3,https://yamitysb.co.il/product/%d7%a1%d7%98-%d7%9b%d7%a0%d7%a4%d7%99%d7%99%d7%9d-%d7%9c%d7%a4%d7%95%d7%99%d7%9c-carve-3-0/
קייט סרפינג,פויל foil,סט כנפיים לפויל CARVE 3.0 SLS,PX175 / 1100,,04WF25CRVS110,3900,,אזל,https://yamitysb.co.il/product/%d7%a1%d7%98-%d7%9b%d7%a0%d7%a4%d7%99%d7%99%d7%9d-%d7%9c%d7%a4%d7%95%d7%99%d7%9c-carve-3-0/
קייט סרפינג,פויל foil,סט כנפיים לפויל CARVE 3.0 SLS,PX195 / 1300,,04WF25CRVS130,4100,,אזל,https://yamitysb.co.il/product/%d7%a1%d7%98-%d7%9b%d7%a0%d7%a4%d7%99%d7%99%d7%9d-%d7%9c%d7%a4%d7%95%d7%99%d7%9c-carve-3-0/
קייט סרפינג,טרפזים,טרפז איון אפקס 8 APEX 2025,48-small,כחול,08H254702B48,1550,,קיים במלאי,https://yamitysb.co.il/product/riot-curv-14-2022/
קייט סרפינג,טרפזים,טרפז איון אפקס 8 APEX 2025,50-medium-2,כחול,08H254702B50,1550,,קיים במלאי,https://yamitysb.co.il/product/riot-curv-14-2022/
קייט סרפינג,טרפזים,טרפז איון אפקס 8 APEX 2025,46-extra-small,כחול,08H254702B46,1550,,אזל,https://yamitysb.co.il/product/riot-curv-14-2022/
קייט סרפינג,טרפזים,טרפז איון אפקס 8 APEX 2025,46-extra-small,שחור,08H25470246,1550,,אזל,https://yamitysb.co.il/product/riot-curv-14-2022/
קייט סרפינג,טרפזים,טרפז איון אפקס 8 APEX 2025,46-extra-small,אדום,08H254702S46,1550,,נשארו במלאי רק 1,https://yamitysb.co.il/product/riot-curv-14-2022/
קייט סרפינג,טרפזים,טרפז איון אפקס 8 APEX 2025,48-small,שחור,08H25470248,1550,,אזל,https://yamitysb.co.il/product/riot-curv-14-2022/
קייט סרפינג,טרפזים,טרפז איון אפקס 8 APEX 2025,50-medium-2,שחור,08H25470250,1550,,נשארו במלאי רק 3,https://yamitysb.co.il/product/riot-curv-14-2022/
קייט סרפינג,טרפזים,טרפז איון אפקס 8 APEX 2025,50-medium-2,אדום,08H254702S50,1550,,נשארו במלאי רק 1,https://yamitysb.co.il/product/riot-curv-14-2022/
קייט סרפינג,טרפזים,טרפז איון אפקס 8 APEX 2025,large-52,שחור,08H25470252,1550,,נשארו במלאי רק 1,https://yamitysb.co.il/product/riot-curv-14-2022/
קייט סרפינג,טרפזים,טרפז איון נשים סול קארב 2025 SOL CURV,38-medium,,08H25472638,1850,,נשארו במלאי רק 1,https://yamitysb.co.il/product/sol-curv-2025/
קייט סרפינג,טרפזים,טרפז איון נשים סול קארב 2025 SOL CURV,extra-small-34,,08H25472634,1850,,אזל,https://yamitysb.co.il/product/sol-curv-2025/
קייט סרפינג,טרפזים,טרפז איון נשים סול קארב 2025 SOL CURV,36-small,,08H25472636,1850,,נשארו במלאי רק 1,https://yamitysb.co.il/product/sol-curv-2025/
קייט סרפינג,טרפזים,טרפז איון נשים סול קארב 2025 SOL CURV,small-tall-72,,08H25472672,1850,,נשארו במלאי רק 1,https://yamitysb.co.il/product/sol-curv-2025/
קייט סרפינג,טרפזים,טרפז איון נשים סול קארב 2025 SOL CURV,medium-tall-76,,08H25472676,1850,,נשארו במלאי רק 2,https://yamitysb.co.il/product/sol-curv-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב 14 RION CURV 2025,48-small,כחול,08H254709A48,1850,,אזל,https://yamitysb.co.il/product/riot-curv-14-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב 14 RION CURV 2025,46-extra-small,שחור,08H25470946,1850,,קיים במלאי,https://yamitysb.co.il/product/riot-curv-14-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב 14 RION CURV 2025,48-small,שחור,08H25470948,1850,,נשארו במלאי רק 1,https://yamitysb.co.il/product/riot-curv-14-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב 14 RION CURV 2025,48-small,אדום,08H254709R48,1850,,אזל,https://yamitysb.co.il/product/riot-curv-14-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב 14 RION CURV 2025,50-medium-2,שחור,08H25470950,1850,,אזל,https://yamitysb.co.il/product/riot-curv-14-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב 14 RION CURV 2025,50-medium-2,כחול,08H254709A50,1850,,נשארו במלאי רק 2,https://yamitysb.co.il/product/riot-curv-14-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב 14 RION CURV 2025,50-medium-2,אדום,08H254709R50,1850,,אזל,https://yamitysb.co.il/product/riot-curv-14-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב 14 RION CURV 2025,large-tall-102,כחול,08H254709A102,1850,,אזל,https://yamitysb.co.il/product/riot-curv-14-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב 14 RION CURV 2025,large-tall-102,אדום,08H254709R102,1850,,אזל,https://yamitysb.co.il/product/riot-curv-14-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב 14 RION CURV 2025,large-52,שחור,08H25470952,1850,,אזל,https://yamitysb.co.il/product/riot-curv-14-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב 14 RION CURV 2025,large-52,כחול,08H254709A52,1850,,אזל,https://yamitysb.co.il/product/riot-curv-14-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב 14 RION CURV 2025,large-52,אדום,08H254709R52,1850,,אזל,https://yamitysb.co.il/product/riot-curv-14-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב 14 RION CURV 2025,medium-tall-98,שחור,08H25470998,1850,,נשארו במלאי רק 1,https://yamitysb.co.il/product/riot-curv-14-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב 14 RION CURV 2025,medium-tall-98,כחול,08H254709A98,1850,,נשארו במלאי רק 1,https://yamitysb.co.il/product/riot-curv-14-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב 14 RION CURV 2025,medium-tall-98,אדום,08H254709R98,1850,,נשארו במלאי רק 1,https://yamitysb.co.il/product/riot-curv-14-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב 14 RION CURV 2025,small-tall-94,שחור,08H25470994,1850,,אזל,https://yamitysb.co.il/product/riot-curv-14-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב 14 RION CURV 2025,small-tall-94,כחול,08H254709A94,1850,,אזל,https://yamitysb.co.il/product/riot-curv-14-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב 14 RION CURV 2025,small-tall-94,אדום,08H254709R94,1850,,אזל,https://yamitysb.co.il/product/riot-curv-14-2025/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב RIOT CURV 2024,medium,כסף,08H470923S50,1800,1290,אזל,https://yamitysb.co.il/product/%d7%98%d7%a8%d7%a4%d7%96-%d7%a8%d7%99%d7%95%d7%98-%d7%a7%d7%90%d7%a8%d7%91-14-riot-curv-2023/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב RIOT CURV 2024,medium,זהב,08H470923G50,1800,1290,אזל,https://yamitysb.co.il/product/%d7%98%d7%a8%d7%a4%d7%96-%d7%a8%d7%99%d7%95%d7%98-%d7%a7%d7%90%d7%a8%d7%91-14-riot-curv-2023/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב RIOT CURV 2024,medium-tall,כסף,08H470923S98,1800,1290,נשארו במלאי רק 1,https://yamitysb.co.il/product/%d7%98%d7%a8%d7%a4%d7%96-%d7%a8%d7%99%d7%95%d7%98-%d7%a7%d7%90%d7%a8%d7%91-14-riot-curv-2023/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב RIOT CURV 2024,small,שחור,08H47092348,1800,1290,אזל,https://yamitysb.co.il/product/%d7%98%d7%a8%d7%a4%d7%96-%d7%a8%d7%99%d7%95%d7%98-%d7%a7%d7%90%d7%a8%d7%91-14-riot-curv-2023/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב RIOT CURV 2024,medium,שחור,08H47092350,1800,1290,אזל,https://yamitysb.co.il/product/%d7%98%d7%a8%d7%a4%d7%96-%d7%a8%d7%99%d7%95%d7%98-%d7%a7%d7%90%d7%a8%d7%91-14-riot-curv-2023/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב RIOT CURV 2024,medium-tall,שחור,08H47092398,1800,1290,נשארו במלאי רק 3,https://yamitysb.co.il/product/%d7%98%d7%a8%d7%a4%d7%96-%d7%a8%d7%99%d7%95%d7%98-%d7%a7%d7%90%d7%a8%d7%91-14-riot-curv-2023/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב RIOT CURV 2024,medium-tall,כחול,08H470923B98,1800,1290,אזל,https://yamitysb.co.il/product/%d7%98%d7%a8%d7%a4%d7%96-%d7%a8%d7%99%d7%95%d7%98-%d7%a7%d7%90%d7%a8%d7%91-14-riot-curv-2023/
קייט סרפינג,טרפזים,טרפז איון ריוט קארב RIOT CURV 2024,large,שחור,08H47092352,1800,1290,אזל,https://yamitysb.co.il/product/%d7%98%d7%a8%d7%a4%d7%96-%d7%a8%d7%99%d7%95%d7%98-%d7%a7%d7%90%d7%a8%d7%91-14-riot-curv-2023/
קייט סרפינג,טרפזים,טרפז אקסיס AXIS 2024,extra-large,,05H31XL,890,690,קיים במלאי,https://yamitysb.co.il/product/axis-4/
קייט סרפינג,טרפזים,טרפז אקסיס AXIS 2024,extra-small,,05H31XS,890,690,נשארו במלאי רק 1,https://yamitysb.co.il/product/axis-4/
קייט סרפינג,טרפזים,טרפז אקסיס AXIS 2024,large,,05H31L,890,690,נשארו במלאי רק 2,https://yamitysb.co.il/product/axis-4/
קייט סרפינג,טרפזים,טרפז אקסיס AXIS 2024,medium,,05H31M,890,690,נשארו במלאי רק 3,https://yamitysb.co.il/product/axis-4/
קייט סרפינג,טרפזים,טרפז אקסיס AXIS 2024,small,,05H31S,890,690,נשארו במלאי רק 2,https://yamitysb.co.il/product/axis-4/
קייט סרפינג,טרפזים,טרפז אקסיס AXXIS 2025,extra-small,שחור,08H25471046,950,,נשארו במלאי רק 2,https://yamitysb.co.il/product/apex-8-2022/
קייט סרפינג,טרפזים,טרפז אקסיס AXXIS 2025,extra-small,כחול,08H254710A46,950,,נשארו במלאי רק 1,https://yamitysb.co.il/product/apex-8-2022/
קייט סרפינג,טרפזים,טרפז אקסיס AXXIS 2025,large,שחור,08H25471052,950,,אזל,https://yamitysb.co.il/product/apex-8-2022/
קייט סרפינג,טרפזים,טרפז אקסיס AXXIS 2025,large,כחול,08H254710A52,950,,אזל,https://yamitysb.co.il/product/apex-8-2022/
קייט סרפינג,טרפזים,טרפז אקסיס AXXIS 2025,medium,שחור,08H25471050,950,,קיים במלאי,https://yamitysb.co.il/product/apex-8-2022/
קייט סרפינג,טרפזים,טרפז אקסיס AXXIS 2025,medium,כחול,08H254710A50,950,,אזל,https://yamitysb.co.il/product/apex-8-2022/
קייט סרפינג,טרפזים,טרפז אקסיס AXXIS 2025,small,שחור,08H25471048,950,,קיים במלאי,https://yamitysb.co.il/product/apex-8-2022/
קייט סרפינג,טרפזים,טרפז אקסיס AXXIS 2025,small,כחול,08H254710A48,950,,אזל,https://yamitysb.co.il/product/apex-8-2022/
קייט סרפינג,טרפזים,טרפז גלישה לילדים ION,xxs,,05H32116,597,399,אזל,https://yamitysb.co.il/product/%d7%99%d7%9c%d7%93%d7%99%d7%9d-ripper/
קייט סרפינג,טרפזים,טרפז גלישה לילדים ION,xxxs,,05H32104,597,399,אזל,https://yamitysb.co.il/product/%d7%99%d7%9c%d7%93%d7%99%d7%9d-ripper/
קייט סרפינג,טרפזים,טרפז גלישה לילדים RIPPER 2025,XXXS/104,,08H254711104,690,,נשארו במלאי רק 2,https://yamitysb.co.il/product/%d7%98%d7%a8%d7%a4%d7%96-%d7%90%d7%99%d7%95%d7%9f-%d7%92%d7%9c%d7%99%d7%a9%d7%94-%d7%9c%d7%99%d7%9c%d7%93%d7%99%d7%9d-ripper-2025/
קייט סרפינג,טרפזים,טרפז גלישה לילדים RIPPER 2025,XXS/116,,08H254711116,690,,נשארו במלאי רק 2,https://yamitysb.co.il/product/%d7%98%d7%a8%d7%a4%d7%96-%d7%90%d7%99%d7%95%d7%9f-%d7%92%d7%9c%d7%99%d7%a9%d7%94-%d7%9c%d7%99%d7%9c%d7%93%d7%99%d7%9d-ripper-2025/
קייט סרפינג,טרפזים,טרפז גלישה לילדים RIPPER 2025,XS/128,,08H254711128,690,,נשארו במלאי רק 1,https://yamitysb.co.il/product/%d7%98%d7%a8%d7%a4%d7%96-%d7%90%d7%99%d7%95%d7%9f-%d7%92%d7%9c%d7%99%d7%a9%d7%94-%d7%9c%d7%99%d7%9c%d7%93%d7%99%d7%9d-ripper-2025/
קייט סרפינג,טרפזים,טרפז טים סריאס 18 – האדלו 2024 Team Series HADLOW,medium-tall,,08H47062398,2200,1200,נשארו במלאי רק 1,https://yamitysb.co.il/product/%d7%98%d7%a8%d7%a4%d7%96-%d7%98%d7%99%d7%9d-%d7%a1%d7%a8%d7%99%d7%90%d7%a1-18-%d7%94%d7%90%d7%93%d7%9c%d7%95-2023-team-series-hadlow/
קייט סרפינג,טרפזים,טרפז ישיבה ECHO,extra-large,,05H022XL,950,,נשארו במלאי רק 2,https://yamitysb.co.il/product/echo-2/
קייט סרפינג,טרפזים,טרפז ישיבה ECHO,extra-small,,05H022XS,950,,נשארו במלאי רק 1,https://yamitysb.co.il/product/echo-2/
קייט סרפינג,טרפזים,טרפז ישיבה ECHO,large,,05H022L,950,,אזל,https://yamitysb.co.il/product/echo-2/
קייט סרפינג,טרפזים,טרפז ישיבה ECHO,medium,,05H022M,950,,קיים במלאי,https://yamitysb.co.il/product/echo-2/
קייט סרפינג,טרפזים,טרפז ישיבה ECHO,small,,05H022S,950,,אזל,https://yamitysb.co.il/product/echo-2/
קייט סרפינג,טרפזים,טרפז מכנס איון  B2 2025,48-small,,08H254721B48,1500,,נשארו במלאי רק 1,https://yamitysb.co.il/product/sonar/
קייט סרפינג,טרפזים,טרפז מכנס איון  B2 2025,50-medium-2,,08H254721B50,1500,,נשארו במלאי רק 1,https://yamitysb.co.il/product/sonar/
קייט סרפינג,תיקים וכיסויים,תיק גרב לגלשן גלים ION,95-2,,08A70512359,223,180,אזל,https://yamitysb.co.il/product/%d7%aa%d7%99%d7%a7-%d7%92%d7%a8%d7%91-%d7%9c%d7%92%d7%9c%d7%a9%d7%9f-%d7%a7%d7%99%d7%99%d7%98-ion/
קייט סרפינג,תיקים וכיסויים,תיק גרב לגלשן גלים ION,35-stubby-2,,08A70522353,223,180,נשארו במלאי רק 3,https://yamitysb.co.il/product/%d7%aa%d7%99%d7%a7-%d7%92%d7%a8%d7%91-%d7%9c%d7%92%d7%9c%d7%a9%d7%9f-%d7%a7%d7%99%d7%99%d7%98-ion/
קייט סרפינג,תיקים וכיסויים,תיק לגלשן גלים DUOTONE,45-2,,05BT510,400,290,נשארו במלאי רק 1,https://yamitysb.co.il/product/surf-singal-boardbag/
קייט סרפינג,תיקים וכיסויים,תיק לגלשן גלים DUOTONE,55,,05BT56,400,290,אזל,https://yamitysb.co.il/product/surf-singal-boardbag/
קייט סרפינג,תיקים וכיסויים,תיק לגלשן גלים ION,85-2,,08A703060,454,,קיים במלאי,https://yamitysb.co.il/product/surf-single-boardbag-core/
קייט סרפינג,תיקים וכיסויים,תיק לגלשן גלים ION,25,,05BT60C1,450,,נשארו במלאי רק 3,https://yamitysb.co.il/product/surf-single-boardbag-core/
קייט סרפינג,תיקים וכיסויים,תיק לגלשן גלים ION,65,,05BT60C2,450,,קיים במלאי,https://yamitysb.co.il/product/surf-single-boardbag-core/
קייט סרפינג,תיקים וכיסויים,תיק לגלשן גלים קטום ION,״6׳5,,08A70292356,390,,נשארו במלאי רק 3,https://yamitysb.co.il/product/%d7%aa%d7%99%d7%a7-%d7%9c%d7%92%d7%9c%d7%a9%d7%9f-%d7%92%d7%9c%d7%99%d7%9d-%d7%a7%d7%98%d7%95%d7%9d-ion/
קייט סרפינג,תיקים וכיסויים,תיק לגלשן טוין טיפ –  Duotone Boardbag Single Twintip,,,08A701526,,,מוצר זה חסר כרגע במלאי ואינו זמין.,https://yamitysb.co.il/product/%d7%aa%d7%99%d7%a7-%d7%9c%d7%92%d7%9c%d7%a9%d7%9f-%d7%98%d7%95%d7%99%d7%9f-%d7%98%d7%99%d7%a4-duotone-boardbag-single-twintip/
קייט סרפינג,תיקים וכיסויים,תיק לגלשן קייט (טווין טיפ),l-143x45-%d7%99%d7%a8%d7%95%d7%a7,,08A7048143,290,,קיים במלאי,https://yamitysb.co.il/product/twintip-boardbag-core/
קייט סרפינג,תיקים וכיסויים,תיק לגלשן קייט (טווין טיפ),xl-166x49,,05BT06XL,290,,קיים במלאי,https://yamitysb.co.il/product/twintip-boardbag-core/
קייט סרפינג,תיקים וכיסויים,תיק לגלשן קייט (טווין טיפ),m-137x43,,05BT06M,290,,קיים במלאי,https://yamitysb.co.il/product/twintip-boardbag-core/
