מ.במחסן,מחס,מספר פריט,שם פריט,מספר חליפי,***,כמות במלאי
,0,0522EV11S,חופה EVO SLS 11 22,44220-3013,,
,0,0522EV12,חופה EVO 12 23 כחול,44220-3003/CO5,,
,0,0522EV12G,חופה EVO 12 23 אפור,44220-3003/C12,,
,0,0522EV12S,חופה EVO SLS 12 22,44220-3013,,
,0,0522EV13S,חופה EVO SLS 13 22,44220-3013,,
,0,0522EV14,חופה EVO 14 23 לבן,44220-3003/C,,
,0,0522JU13,חופה JUICE 13  22 D\LAB,44220-3020,,
,0,0522JU15,חופה JUICE 15  22 D\LAB,44220-3020,,
,0,0522MO09,חופה MONO 09 22,44220-3008,,
,0,0522NE04,חופה NEO   04 22,44220-3004,,
,0,0522NE05S,חופה NEO  SLS 05 22,44220-3014,,
,0,0522NE06S,חופה NEO  SLS 06 22,44220-3014,,
,0,0522NE07S,חופה NEO  SLS 07 22,44220-3014,,
,0,0522NE08S,חופה NEO  SLS 08 22,44220-3014,,
,0,0522NE09S,חופה NEO  SLS 09 22,44220-3014,,
,0,0522NE10S,חופה NEO  SLS 10 22,44220-3014,,
,0,0522NE11S,חופה NEO  SLS 11 22,44220-3014,,
,0,0522NE12S,חופה NEO  SLS 12 22,44220-3014,,
,0,0522RE07,חופה REBEL SLS 07 22,44220-3010,,
,0,0522RE08,חופה REBEL SLS 08 22,44220-3010,,
,0,0522RE09,חופה REBEL SLS 09 22,44220-3010,,
,0,0522RE10,חופה REBEL SLS 10 22,44220-3010,,
,0,0522RE11,חופה REBEL SLS 11 22,44220-3010,,
,0,0522RE12,חופה REBEL SLS 12 22,44220-3010,,
,0,0522RE13,חופה REBEL SLS 13 22,44220-3010,,
,0,0522VE08,חופה VEGAS 08 22,44220-3001,,
,0,0523DI07,חופה DICE SLS 07 23,44230-3012,,
,0,0523DI08,חופה DICE SLS 08 23,44230-3012,,1.00
,0,0523DI09,חופה DICE SLS 09 23,44230-3012,,
,0,0523DI10,חופה DICE SLS 10 23,44230-3012,,
,0,0523DI11,חופה DICE SLS 11 23,44230-3012,,1.00
,0,0523DI12,חופה DICE SLS 12 23,44230-3012,,
,0,0523EV07S,*חופה EVO SLS 07 23,44230-3013,,
,0,0523EV07SG,חופה EVO SLS 07 23 אפור,44230-3013/C07,,
,0,0523EV08S,*חופה EVO SLS 08 23 כחול,44230-3013/C10,,
,0,0523EV08SG,*חופה EVO SLS 08 23 אפור,44230-3013/C07,,
,0,0523EV08SY,חופה EVO SLS 08 23 צהוב,44230-3013/C08,,
,0,0523EV09D,חופה EVO D/LAB 09 23 הדגמות,44230-3023**,,
,0,0523EV09S,חופה EVO SLS 09 23 הדגמות,44230-3013/C10,,
,0,0523EV09SG,חופה EVO SLS 09 23 אפור,44230-3013/C07,,
,0,0523EV09SY,חופה EVO SLS 09 23 צהוב,44230-3013/C08,,
,0,0523EV10S,חופה EVO SLS 10 23 כחול,44230-3013/c10,,
,0,0523EV10SG,חופה EVO SLS 10 23 אפור,44230-3013/C07,,
,0,0523EV10SY,חופה EVO SLS 10 23 צהוב,44230-3013/C08,,
,0,0523EV11S,חופה EVO SLS 11 23 כחול,44230-3013/C10,,
,0,0523EV11SG,חופה EVO SLS 11 23 אפור,44230-3013/C07,,
,0,0523EV11SY,חופה EVO SLS 11 23 צהוב,44230-3013/C08,,
,0,0523EV12D,חופה EVO D/LAB 12 23 הדגמות,44230-3023**,,
,0,0523EV12S,חופה EVO SLS 12 23 הדגמות,44230-3013/C10,,
,0,0523EV12SG,חופה EVO SLS 12 23 אפור,44230-3013/C07,,
,0,0523EV12SY,חופה EVO SLS 12 23 צהוב,44230-3013/C08,,
,0,0523EVD07,חופה EVO D/LAB 07 23,44230-3023,,2.00
,0,0523EVD08,חופה EVO D/LAB 08 23,44230-3023,,
,0,0523EVD09,חופה EVO D/LAB 09 23,44230-3023,,
,0,0523EVD10,חופה EVO D/LAB 10 23,44230-3023,,
,0,0523EVD11,חופה EVO D/LAB 11 23,44230-3023,,
